As of Date,Company,Account,AU,Currency,Primary Account,Secondary Account,GL Balance,iHub Balance,Balance Difference,Match Status
24-04-2022,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,20647,25447,-4800,Break
24-04-2022,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,51390,51390,0,Match
25-04-2022,1,521127,62695,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,80296,80296,0,Match
25-04-2022,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,7186,7186,0,Match
25-04-2022,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,96286,96286,0,Match
26-04-2022,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,44433,44433,0,Match
26-04-2022,2,791584,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,35456,35456,0,Match
27-04-2022,2,791584,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,24145,24145,0,Match
27-04-2022,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,25647,25647,0,Match
28-04-2022,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,70876,70876,0,Match
28-04-2022,0,408013,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,8724,8724,0,Match
30-04-2022,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,80714,80714,0,Match
30-04-2022,3,954576,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,12267,12267,0,Match
01-05-2022,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,81703,81703,0,Match
02-05-2022,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,46071,46071,0,Match
02-05-2022,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,26061,61342,-35281,Break
04-05-2022,1,521127,62695,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,24127,79096,-54969,Break
05-05-2022,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,57978,57978,0,Match
05-05-2022,1,851591,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,81147,71855,9292,Break
06-05-2022,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,7967,7967,0,Match
06-05-2022,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,99451,51934,47517,Break
07-05-2022,1,521127,62695,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,28219,28219,0,Match
08-05-2022,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,83940,83940,0,Match
10-05-2022,2,791584,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,78997,78997,0,Match
11-05-2022,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,21335,64159,-42824,Break
13-05-2022,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,66021,35906,30115,Break
15-05-2022,0,408013,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,36410,68958,-32548,Break
15-05-2022,2,731067,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,63698,63698,0,Match
16-05-2022,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,68425,68425,0,Match
16-05-2022,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,89293,89293,0,Match
17-05-2022,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,71719,71719,0,Match
17-05-2022,2,791584,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,94370,67688,26682,Break
18-05-2022,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,71109,71109,0,Match
19-05-2022,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,52612,66918,-14306,Break
19-05-2022,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,74823,74823,0,Match
19-05-2022,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,7938,7938,0,Match
19-05-2022,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,61106,62330,-1224,Break
20-05-2022,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,37239,37239,0,Match
21-05-2022,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,48381,92277,-43896,Break
21-05-2022,2,731067,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,44891,98562,-53671,Break
23-05-2022,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,11572,11572,0,Match
23-05-2022,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,35185,35185,0,Match
24-05-2022,0,408013,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,32080,32080,0,Match
25-05-2022,0,408013,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,97833,36497,61336,Break
25-05-2022,1,521127,62695,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,95310,54951,40359,Break
26-05-2022,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,18750,18750,0,Match
26-05-2022,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,28029,42657,-14628,Break
26-05-2022,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,40529,40529,0,Match
27-05-2022,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,45883,45883,0,Match
27-05-2022,1,521127,62695,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,56029,68942,-12913,Break
27-05-2022,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,86607,21926,64681,Break
28-05-2022,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,71957,71957,0,Match
29-05-2022,1,851591,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,96214,62661,33553,Break
29-05-2022,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,44409,98751,-54342,Break
30-05-2022,2,731067,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,36859,63477,-26618,Break
31-05-2022,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,86643,86643,0,Match
31-05-2022,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,91427,91427,0,Match
01-06-2022,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,45494,45494,0,Match
01-06-2022,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,84881,66862,18019,Break
02-06-2022,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,19248,19248,0,Match
03-06-2022,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,37234,37234,0,Match
03-06-2022,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,38540,38540,0,Match
04-06-2022,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,3110,3110,0,Match
04-06-2022,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,78440,78440,0,Match
04-06-2022,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,45164,45164,0,Match
05-06-2022,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,75449,33907,41542,Break
05-06-2022,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,72697,72697,0,Match
06-06-2022,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,50928,50928,0,Match
07-06-2022,0,408013,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,91749,91749,0,Match
07-06-2022,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,51781,51781,0,Match
07-06-2022,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,45005,45005,0,Match
07-06-2022,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,26738,26738,0,Match
08-06-2022,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,88910,59671,29239,Break
10-06-2022,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,64859,64859,0,Match
10-06-2022,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,83037,83037,0,Match
10-06-2022,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,39687,33168,6519,Break
11-06-2022,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,63887,94247,-30360,Break
11-06-2022,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,66178,66178,0,Match
11-06-2022,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,19053,18378,675,Break
12-06-2022,2,791584,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,26467,26467,0,Match
12-06-2022,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,89987,89987,0,Match
13-06-2022,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,42515,42515,0,Match
14-06-2022,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,44189,44189,0,Match
14-06-2022,1,521127,62695,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,63938,63938,0,Match
14-06-2022,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,12502,12502,0,Match
15-06-2022,0,408013,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,5350,88284,-82934,Break
15-06-2022,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,24763,24763,0,Match
15-06-2022,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,38271,38271,0,Match
15-06-2022,2,731067,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,97199,97199,0,Match
15-06-2022,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,29718,29718,0,Match
17-06-2022,2,731067,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,76428,76428,0,Match
18-06-2022,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,57323,39493,17830,Break
18-06-2022,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,86146,86146,0,Match
20-06-2022,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,31130,31130,0,Match
20-06-2022,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,38192,88508,-50316,Break
21-06-2022,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,85251,85251,0,Match
22-06-2022,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,4830,4830,0,Match
22-06-2022,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,36920,36920,0,Match
22-06-2022,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,1387,58870,-57483,Break
22-06-2022,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,92193,22053,70140,Break
23-06-2022,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,6266,6266,0,Match
23-06-2022,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,66415,66415,0,Match
23-06-2022,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,70997,70997,0,Match
23-06-2022,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,99119,99119,0,Match
24-06-2022,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,99567,99567,0,Match
24-06-2022,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,94362,94362,0,Match
25-06-2022,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,97171,59108,38063,Break
25-06-2022,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,39312,82053,-42741,Break
25-06-2022,3,954576,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,24136,24136,0,Match
25-06-2022,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,82541,82541,0,Match
25-06-2022,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,76402,46516,29886,Break
25-06-2022,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,33987,59633,-25646,Break
25-06-2022,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,21437,21437,0,Match
25-06-2022,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,61719,20037,41682,Break
25-06-2022,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,7454,79674,-72220,Break
25-06-2022,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,33397,33397,0,Match
27-06-2022,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,14089,90763,-76674,Break
27-06-2022,2,731067,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,72846,72846,0,Match
27-06-2022,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,36984,36984,0,Match
28-06-2022,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,18263,18263,0,Match
28-06-2022,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,52861,52861,0,Match
28-06-2022,3,954576,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,69639,46802,22837,Break
29-06-2022,1,851591,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,93447,3204,90243,Break
29-06-2022,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,71637,35319,36318,Break
30-06-2022,1,851591,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,65220,19205,46015,Break
01-07-2022,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,3039,3039,0,Match
01-07-2022,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,89306,89306,0,Match
01-07-2022,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,11213,11213,0,Match
01-07-2022,1,521127,62695,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,71534,71534,0,Match
01-07-2022,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,16313,16313,0,Match
02-07-2022,2,791584,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,64535,64535,0,Match
02-07-2022,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,42381,42381,0,Match
02-07-2022,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,87137,87137,0,Match
03-07-2022,0,408013,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,67879,67879,0,Match
03-07-2022,2,791584,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,14241,56025,-41784,Break
03-07-2022,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,2973,2973,0,Match
03-07-2022,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,59467,26134,33333,Break
05-07-2022,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,80566,80566,0,Match
05-07-2022,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,61299,61299,0,Match
05-07-2022,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,87467,87467,0,Match
06-07-2022,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,4992,4992,0,Match
06-07-2022,2,731067,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,43356,43356,0,Match
06-07-2022,1,521127,62695,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,76766,76766,0,Match
07-07-2022,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,98956,98956,0,Match
07-07-2022,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,30594,30594,0,Match
07-07-2022,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,94853,72504,22349,Break
07-07-2022,2,731067,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,45597,45597,0,Match
08-07-2022,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,86404,86404,0,Match
08-07-2022,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,14650,14650,0,Match
08-07-2022,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,65787,65787,0,Match
08-07-2022,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,62375,95693,-33318,Break
09-07-2022,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,80157,20621,59536,Break
09-07-2022,3,954576,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,94904,27142,67762,Break
09-07-2022,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,49919,49919,0,Match
10-07-2022,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,18686,98217,-79531,Break
10-07-2022,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,99143,99143,0,Match
10-07-2022,0,408013,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,63472,93427,-29955,Break
11-07-2022,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,10378,10378,0,Match
11-07-2022,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,29184,29184,0,Match
12-07-2022,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,30600,30600,0,Match
12-07-2022,0,408013,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,93328,93328,0,Match
12-07-2022,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,25015,25015,0,Match
13-07-2022,1,851591,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,9347,9347,0,Match
13-07-2022,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,14437,14437,0,Match
14-07-2022,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,77045,77045,0,Match
14-07-2022,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,12718,12718,0,Match
14-07-2022,3,954576,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,66119,66119,0,Match
15-07-2022,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,6510,6510,0,Match
15-07-2022,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,21316,21316,0,Match
15-07-2022,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,47327,47327,0,Match
16-07-2022,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,11416,11416,0,Match
16-07-2022,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,74469,74469,0,Match
